  20
  40
        26        37        19         1         7
        13        30         5         1         0
         4        11        18         1         1
        15        30        16         4        10
         1         9        12         4         6
        17        23         6         6         0
         9        21         5         2         5
        21        38        15         6         1
        10        28        19         3         1
        15        24         8         3         5
         4        18        11         1         0
        29        49        16         5         2
         5         9        13         9         0
         2         7         9         5         0
         5        22        18         5         5
        29        56        13         4         8
        29        44        16         8         7
        27        38        15         2         0
        28        52        12         5         8
         4        33        16         6        10
End Problem Specification
