  10
  20
        10        22         1         7         1
         1        14         6         1         0
        10        30         5         3         2
        11        15         7         1         3
        24        29         9         5         0
        28        46         9         6         4
        28        36         9         8         1
        29        36         9         1         2
        20        22         2         7         1
        27        46         7         1         4
End Problem Specification
