  20
  40
        29        33        16         1         2
        16        36        14         1         9
        25        45        23         6        17
        21        44        29         9         7
        17        46        20         1        18
        19        41        17         8         5
        10        16        28         3         5
        20        31        25         8         2
        21        38        10         2         6
        23        54        15         9        15
         5        27        25         8         7
        29        47        10         8        13
        17        35        25         6         4
         2        27        16         7        15
        10        15        13         5         0
        28        51        16         8         9
        15        30        15         1         4
         2        13        22         2         7
        22        39        11         2         6
        29        41        21         9         8
End Problem Specification
