  75
  40
        24       570        29         3       527
        14       367        15         3       341
        18       208        18         2       173
        13       188        21         1       157
        10        52        19         7        25
        22        72        23         4        37
         6       478        10         2       465
        12       299        10         5       275
        21       138        26         3        99
        25       291        20         8       248
        26       442        13         7       403
        20       119        19         7        84
        11       159        16         7       136
        25       195        29         5       165
         8       217        24         3       203
        25       290        19         6       248
         3       434        13         4       420
        27       557        24         9       516
        29       297        20         7       261
        15       421        15         9       400
        29       246        23         2       200
        20       284        11         1       256
         4        57        25         6        38
        21       425        15         3       388
        22        44        26         3        11
        11       123        12         9       109
        14        56        12         6        29
         1       100        24         1        94
         3       317        26         1       305
        14       536        12         3       521
        26       387        27         7       360
        18        21        22         6         0
        25       461        27         8       432
         5       467        12         3       453
        19       346        14         4       326
        28       113        28         5        78
         4       364        24         7       357
        17        39        27         5        17
         8       387        18         2       376
        15       545        25         1       515
         3        61        12         4        45
         7       449        20         6       441
        25       545        25         4       506
        14        65        13         8        50
        20       269        29         6       239
        21       143        13         7       106
         8       331        19         9       315
        14        81        10         5        60
        12       480        26         9       455
        23       315        12         3       291
         9       237        27         3       226
        10       319        29         8       307
        12       386        14         6       358
         8        86        24         2        75
        26       190        14         3       146
        13       270        17         3       238
        26       327        23         5       286
         7       369        11         7       346
         2       100        21         7        96
         8       237        14         8       213
        15       181        13         9       162
        16       389        17         7       370
         6        44        25         4        29
        12        78        22         1        64
        16       271        16         1       242
        27       114        14         5        75
         5       393        26         9       380
        25       222        28         8       186
         6       311        12         6       301
        11        96        25         9        70
         4       263        11         3       258
        12       389        22         7       366
         9       125        21         2       100
        24       243        26         2       213
        20       280        14         5       255
End Problem Specification
