  50
  40
        11       190        34         8       171
        10        20        31         7         3
        27       294         6         4       260
        16       340         6         7       315
         8        83         1         3        74
        29        98         3         8        65
        25       269        10         8       233
        17       100        12         1        75
         5       241        29         5       225
        25       129        18         8       101
        22       303        19         6       274
        24       196        12         4       155
        15       183        32         5       163
        25       232        17         5       204
        27        90         5         3        47
         2       338        31         1       328
         4       108        11         1        88
        20       355        27         9       324
        16       220         6         6       195
        15       189         5         4       167
        16       194        21         1       161
         3       278        14         6       260
        17       303        39         6       275
         8        40        24         7        23
         4       361        14         1       338
        17        28        34         2         9
         6       143        21         5       135
         4        30        18         5        25
        15       134        25         5       113
        13        69        25         7        54
         2       312         4         5       295
        10       260        34         6       232
         9        94         9         8        81
         9       314        30         6       303
        13       163        10         8       146
        29       230        23         1       183
         7       291        26         5       273
        22        87        35         2        63
        27       337        31         4       304
         5       326        21         1       310
         3        80         8         5        65
        15        52        14         9        33
        13       135        11         3       114
         3       105        23         6        98
        21       180        12         7       144
         2       263        34         8       249
         7       268        17         2       244
        19       118         1         3        95
         5       137         3         6       115
        17        47        25         6        28
End Problem Specification
