  75
  20
        12       124         3         8       108
        20        62         3         7        25
         6        35         7         5        15
        29        95        17         8        64
        17        53         5         8        34
        27       180         5         3       142
        22       175         9         4       143
        19        40        14         6         2
        27       237        17         8       191
        26       215         3         9       184
         4       190        14         5       177
        26       152         9         3       118
        10       245         7         3       220
        22        62        10         3        22
        29       193        16         2       152
        27        78        11         7        47
         4       133         3         1       126
        20        96        12         5        64
         7       187         3         4       165
         7       177         5         6       158
         2        20        14         3         7
        27       111         2         5        72
        18       192        10         4       165
        26       287        12         9       247
         3       248        10         4       234
        15        43         9         8        15
         4        30         1         6        22
         8       102         7         9        87
        27       136         3         4        94
        14        63         4         9        31
        27       150         9         7       112
         5       188        19         8       177
        22       154        10         7       126
        12       132        18         8       114
        17       146        17         9       124
        16        64         4         6        34
         7        90        14         4        74
        18       258        19         3       226
         7        98        11         9        81
         4       184         2         8       163
         1       156         7         7       142
        26       197        15         6       166
        19       270        17         8       232
        24        70        19         6        34
        17       121        18         1        92
        12       102        16         3        72
        26       238        11         7       195
         4        96        19         3        91
        29       211        14         4       176
        18       208         6         8       175
        16       197        11         2       178
        27       166        15         2       131
         9       191        15         4       176
         1        64        11         9        49
         4        61         4         8        43
        26       177        14         6       135
        24       276        13         4       235
         3       267        18         8       249
        28       147         9         6       106
        25       115         5         9        89
        10       276         1         4       251
        12       238         5         4       210
        16        46        10         6        25
        17        83        18         3        54
         7        57         4         5        32
        29       207         7         3       172
        27        43         7         3         1
        29       229         8         7       194
        12       250        15         2       225
        12       152         9         7       129
        27       208         6         4       166
        23       126         7         6        89
        23        91         5         2        56
        29       241         4         9       194
        17        66         5         8        44
End Problem Specification
