  75
  40
        26       147        24         7       119
        25       145        32         2       118
        14       159        27         6       130
        21       285        23         5       250
         8       395         2         9       386
        21       474         5         5       448
        24       129        23         8        91
         4        82         6         3        71
        15       120        30         7       104
        22       499         4         2       466
        16       490         2         4       470
         7       258        23         1       248
        29       526         2         9       480
        18       529        29         6       507
         6       440        10         9       415
         6       171        19         7       161
         3       537        24         8       527
        25        45        25         2         1
        16       283        12         8       259
        27       438        15         2       408
        21       287         4         8       263
         7        23         9         5        13
         9        61         2         1        34
        24       433        31         4       395
        21       431         2         6       400
        19       454        11         6       423
        23       132        28         4        95
        17        42        36         2        22
        23       446         3         8       416
        22       371         8         4       346
        29       304        16         1       260
        24       532         7         8       504
        22       442        37         6       404
         8       364        38         8       338
        23        85        39         3        61
         4       110        13         4        95
        10       495        36         6       481
         2       458         8         8       449
         5       120        30         6        96
        11       211        15         4       188
         4       102        32         7        89
         6       473        32         8       460
        23        84        26         3        50
        13        25        16         9         9
         6       308        20         6       296
        24       273        14         5       232
         2       448        36         2       445
        25       121        30         1        87
        27       400        36         8       361
        23       370         4         6       341
        28       207        15         3       171
         3       320        31         8       314
        11       412         8         2       395
        21       439        37         1       399
         3       177        35         9       162
        18       417         3         5       383
         7       303        25         5       292
        26       214         3         1       182
        23       508        32         9       479
        28       132        37         6        96
         3       257        21         1       251
        23       109        31         7        85
        10       444        27         4       430
         9       483         9         9       469
         3       111        34         3       107
        25        64        30         2        29
        13        45        31         3        16
        16       190        23         1       162
        29       200        17         8       165
         4       202        35         6       194
        19       540         5         4       505
        15       166         9         3       148
        22       429        21         6       390
        23       185        16         3       151
        15        36         1         4         7
End Problem Specification
